"Date","Price","Open","High","Low","Vol.","Change %"
"27/04/2020","1,640.75","1,633.05","1,642.55","1,632.58","","0.95%"
"24/04/2020","1,625.36","1,613.91","1,626.27","1,606.47","","1.24%"
"23/04/2020","1,605.40","1,608.47","1,618.77","1,602.98","","0.16%"
"22/04/2020","1,602.80","1,597.40","1,606.75","1,592.32","","1.71%"
"21/04/2020","1,575.88","1,587.80","1,592.64","1,570.89","","-1.74%"
"20/04/2020","1,603.82","1,607.24","1,618.28","1,602.85","","-1.00%"
"17/04/2020","1,619.94","1,609.82","1,621.45","1,608.02","","0.65%"
"16/04/2020","1,609.49","1,609.42","1,609.49","1,609.40","","0.01%"
"15/04/2020","1,609.34","1,609.13","1,609.34","1,609.13","","0.01%"
"14/04/2020","1,609.19","1,609.14","1,609.24","1,609.14","","0.02%"
"13/04/2020","1,608.83","1,607.70","1,608.83","1,606.98","","0.13%"
"09/04/2020","1,606.72","1,604.88","1,606.75","1,604.85","","0.20%"
"08/04/2020","1,603.53","1,599.39","1,603.79","1,596.27","","0.60%"
"07/04/2020","1,593.94","1,599.99","1,603.16","1,593.55","","0.10%"
"06/04/2020","1,592.41","1,586.52","1,595.68","1,584.94","","1.94%"
"03/04/2020","1,562.08","1,564.41","1,570.79","1,552.62","","-0.02%"
"02/04/2020","1,562.38","1,544.28","1,563.13","1,537.97","","1.46%"
"01/04/2020","1,539.94","1,542.11","1,556.57","1,530.62","","-1.68%"
"31/03/2020","1,566.26","1,566.75","1,576.28","1,561.26","","0.06%"
"30/03/2020","1,565.31","1,547.01","1,566.52","1,540.60","","2.05%"
"27/03/2020","1,533.91","1,529.21","1,608.21","1,522.84","","-0.97%"
"26/03/2020","1,548.98","1,533.38","1,551.91","1,530.56","","2.29%"
"25/03/2020","1,514.26","1,508.12","1,538.87","1,497.74","","0.03%"
"24/03/2020","1,513.74","1,495.02","1,515.12","1,487.95","","5.53%"
"23/03/2020","1,434.38","1,448.63","1,468.84","1,402.15","","-1.44%"
